Year,TeamAbv,TeamName,3P,3PA,3P%,2P,2PA,2P%,TOTAL_3P,TOTAL_3PA,TOTAL_2P,TOTAL_2PA
2014,CHI,Chicago Bulls,18.500,56.833,0.259,195.333,402.167,0.431,111.000,341.000,1172.000,2413.000
2014,CLE,Cleveland Cavaliers,28.800,78.800,0.183,132.400,256.000,0.461,144.000,394.000,662.000,1280.000
2014,DAL,Dallas Mavericks,37.400,99.000,0.378,157.000,289.000,0.537,187.000,495.000,785.000,1445.000
2014,DEN,Denver Nuggets,6.000,27.600,0.110,184.600,382.600,0.472,30.000,138.000,923.000,1913.000
2014,DET,Detroit Pistons,0.000,0.667,0.000,317.667,624.667,0.531,0.000,2.000,953.000,1874.000
2014,GSW,Golden State Warriors,16.571,49.857,0.205,144.143,275.000,0.551,116.000,349.000,1009.000,1925.000
2014,HOU,Houston Rockets,12.600,34.600,0.305,158.600,284.600,0.544,63.000,173.000,793.000,1423.000
2014,IND,Indiana Pacers,1.667,8.000,0.154,201.167,423.833,0.487,10.000,48.000,1207.000,2543.000
2014,LAC,Los Angeles Clippers,13.200,41.800,0.241,235.600,432.600,0.519,66.000,209.000,1178.000,2163.000
2014,LAL,Los Angeles Lakers,8.000,24.333,0.203,198.833,410.167,0.441,48.000,146.000,1193.000,2461.000
2014,MEM,Memphis Grizzlies,2.833,11.000,0.256,215.333,434.500,0.589,17.000,66.000,1292.000,2607.000
2014,MIA,Miami Heat,14.167,40.667,0.308,141.333,266.500,0.538,85.000,244.000,848.000,1599.000
2014,MIL,Milwaukee Bucks,11.143,29.857,0.213,127.000,257.143,0.474,78.000,209.000,889.000,1800.000
2014,MIN,Minnesota Timberwolves,1.143,4.143,0.235,78.429,167.714,0.505,8.000,29.000,549.000,1174.000
2014,NOP,New Orleans Pelicans,20.667,63.500,0.174,231.667,448.500,0.505,124.000,381.000,1390.000,2691.000
2014,NYK,New York Knicks,9.600,28.600,0.341,145.200,314.400,0.463,48.000,143.000,726.000,1572.000
2014,OKC,Oklahoma City Thunder,23.250,67.250,0.161,173.000,333.500,0.516,93.000,269.000,692.000,1334.000
2014,ORL,Orlando Magic,29.333,80.833,0.265,172.000,335.000,0.498,176.000,485.000,1032.000,2010.000
2014,PHI,Philadelphia 76ers,11.000,39.833,0.098,131.833,281.500,0.496,66.000,239.000,791.000,1689.000
2014,PHX,Phoenix Suns,43.000,124.750,0.377,215.500,439.000,0.444,172.000,499.000,862.000,1756.000
2014,POR,Portland Trail Blazers,16.800,43.600,0.257,258.200,515.800,0.521,84.000,218.000,1291.000,2579.000
